Gene,log2FoldChange,padj
Gm5697,-6.861664396,0.003070245
Ptgir,-4.723450047,0.045355989
Gm6580,6.606317765,0.010112898
Gm27761,24.40666215,8.13E-07
Hdlbp,-6.308441755,0.012927381
Zfp810,6.132296279,0.018250378
Gm28728,-5.564300163,0.027720644
Ms4a4a,-5.985725059,0.016864037
9130008F23Rik,-5.765854473,0.011779121
Mir27b,23.21994956,3.47E-06
Mettl1,-6.416127197,0.000524552
Gm6985,-8.839455618,0.006967392
Gm6981,-8.173637889,0.000380382
Cxcl9,31.15186158,7.46E-11
Spry2,5.301915117,0.009866787
Gm4819,-6.280009962,0.014915105
Abcb7,-10.85207585,0.038434185
Gm9874,-5.963250091,0.000253952
Riok2,5.738451053,0.016293129
Fam177a,5.410273377,0.049882518
Gm5760,-9.576965175,0.004021651
Gm5761,-23.21468701,8.49E-08
Gm5762,-20.58826559,1.59E-07
Nxf1,-7.954999669,0.000967245
Disp1,5.489037063,0.022661947
Gm6292,-20.54945556,4.52E-07
Cd320,-6.756734246,0.000570229
Gm45094,-5.682069715,0.012173711
Gprasp2,-22.59297759,2.69E-11
Gprasp1,-23.46480263,2.15E-09
Snord88c,6.438795844,0.00086731
Gm18852,-4.568733011,0.046245745
Nap1l2,-22.25610412,2.41E-08
Igf1r,-7.282816422,0.006381738
Rnf207,-6.198874909,0.019738173
Nudt5,7.538945817,0.00072457
Gm15044,-23.3554882,8.29E-08
Phospho1,-31.83812936,4.14E-11
Gm7693,-5.092018473,0.027371082
D330025C20Rik,-5.705425817,0.001661852
Ikbkg,-8.349637203,0.005860651
Zfp12,-6.313717607,0.005169062
Gm9120,-8.428359662,0.000832846
Gm38020,-24.5118951,2.72E-09
Ammecr1,-24.20600903,4.51E-07
Pfkfb4,-5.956870386,0.036618102
Pdlim3,5.126140573,0.009866787
Rwdd4a,-5.067812894,0.027720644
Las1l,-22.46430763,2.16E-14
AC170187.2,-5.415968291,0.034562841
Grip2,4.546834219,0.042981491
Ctps2,-24.29097059,4.22E-07
Avpr1a,-5.434988291,0.049201829
Gm9370,-5.763862172,0.0137376
Bvht,5.100905526,0.029001456
Gm15195,-26.29711965,4.42E-08
Gm15192,-26.97186014,6.35E-09
Gm15190,-24.11906993,1.53E-06
Nceh1,-6.839549789,0.005333415
Cabcoco1,7.158284261,0.01057345
Gm47283,-24.94962785,5.51E-07
Svopl,-5.679441972,0.031954708
Gm10735,-5.403651647,0.034272858
Gm15659,-5.962995304,0.037607218
Gm17415,-6.829137707,0.01771379
Ccdc80,5.712946199,0.015015732
Pphln1,-5.669196548,0.013281568
Ifi202b,-5.027019805,0.028417023
Gm45457,6.300092571,0.004869483
Gm26170,-6.030461611,0.000603523
Gpr137c,5.827979099,0.049030117
Gm14942,-22.7450171,7.59E-12
Mdp1,4.663458316,0.038434185
Ces1d,-4.673745814,0.014529348
Gid4,-5.223749405,0.028669763
Gm4356,-7.320545384,0.000380382
Bcr,-4.806041411,0.04871287
Ppp6r3,-23.45488405,3.43E-06
Gm16128,-4.686541173,0.034208322
Oser1,-8.489489949,4.70E-05
Fgfrl1,-6.732675038,0.009798
Gm19498,6.796744985,0.003121312
Spcs2,-4.885350111,0.021138417
Mylpf,-5.167544268,0.027879969
Slc25a16,-24.52219837,4.54E-10
Gm8797,-7.682144311,7.47E-05
Mfsd10,-8.334446786,0.000197892
2310061I04Rik,-5.527330173,0.027720644
Apol9b,5.945935626,0.002507664
Gm9774,8.748844189,0.04188207
Cd9-ps,-4.90547882,0.049531831
Pdcl3,-6.026379787,0.023124786
Rpf1,-24.16050338,1.46E-06
Cstdc5,-5.873429642,0.016721661
Gm5759,-10.21330955,0.00180514
Gabarap,-5.41826531,0.009162603
Apobec2,-6.441199428,0.004227658
Cox4i1,-5.180105808,0.013190076
Gm9430,-8.012166613,0.000967245
Gm9432,-5.797607603,0.037607218
Pex2,5.339436601,0.012467432
Gm48226,-5.457747893,0.011083441
Gm2223,-9.582358335,6.36E-06
Nsa2-ps2,-22.86982634,4.61E-07
AU022751,-5.525125969,0.023801158
Rps29-ps,-6.858462802,0.005057342
Rps19-ps5,5.021779104,0.014539369
Pros1,-5.862035483,0.02546144
Fam184a,5.564895546,0.018097238
Cpne9,-5.805322816,0.027143708
Pak6,5.486354124,0.01723712
H3f3a,-4.852166271,0.010112898
Trp53bp1,-5.473886665,0.012022967
Trmt2b,-24.43883458,4.99E-10
Gm37019,-4.764088522,0.042203477
Ift81,-24.62465782,8.25E-07
Gm14706,-6.487527479,0.046049884
Gm15078,-22.30598426,3.47E-08
Hist1h2bp,-5.548454574,0.02977841
Hist1h2bg,-6.22630245,0.006264581
Gm37197,5.752085314,0.013747289
Rasgrp2,-6.487235841,0.013190076
Cbx3-ps4,-9.665270478,2.21E-06
Ilvbl,6.577639911,0.002411397
Eml6,-4.579962809,0.024928482
Proser1,-5.516124014,0.031966492
Dad1,7.297469061,0.005921491
Hist1h3d,-5.072620097,0.0338546
Gm37309,-5.192528391,0.026185509
Rin3,-6.248510474,0.041535035
Amot,-24.35664894,3.15E-07
Plxnd1,-4.239086695,0.033520104
Gdap1,-5.667827077,0.03744723
Gm29739,-4.888530904,0.020861585
Gm9364,-6.243993041,0.031472062
Gm8019,-24.99868396,1.84E-09
Gm14845,-9.00834538,0.023551992
Gm15534,5.692374543,0.024928482
Atf7ip,6.163099838,0.00451542
Gm12466,4.803535284,0.027720644
Hbs1l,-5.398391414,0.031982
Fam160a1,24.27401033,9.38E-07
Gm16184,-6.957256359,0.000758805
Agl,-5.816113586,0.006359657
Oplah,-22.68442354,8.33E-06
Smpx,-24.69125054,7.66E-07
Gm44634,-6.031809486,0.001251732
Smim15,-4.937567113,0.041510019
Gm47553,-6.335323019,0.017408248
Prkcd,-5.750558112,0.009002031
Dedd,-21.48764163,4.42E-08
Mtf2,8.021985707,0.000325325
Idh2,-21.51395415,3.25E-05
Gm21631,5.339544216,0.011462716
Mir7054,5.582688523,0.010206689
Hdac7,-22.8220475,1.52E-12
Golt1b,-6.683238568,0.003735417
Mark4,-20.08357273,0.000153939
Ctdspl2,-5.194122039,0.040975814
Gm20109,-7.846391588,3.89E-05
Gm10143,-7.906032203,6.17E-05
Gm8876,-9.598377071,0.004542596
Mageb2,-26.18708372,3.93E-23
Dpy19l3,-6.552481788,0.001035396
2900076A07Rik,-32.13536836,1.87E-13
Cald1,-5.316242831,0.023801158
Camk2n1,-6.201725229,0.016975503
Zc2hc1a,-5.94004151,0.015355735
Gm5125,-22.65797529,2.56E-11
Nfkbia,-5.73584568,0.02242536
Ddx21,-7.812016243,6.65E-05
Sirt7,-6.032554515,0.005152209
Gm37784,7.240827095,0.000600301
Mettl22,4.454908739,0.025768157
Ptpn1,6.526438202,0.000176224
Cfap97,-5.920371334,0.029135566
Gm9550,-4.617602742,0.048577198
Gm8357,-9.081044907,6.99E-06
Gm13305,17.87288564,5.24E-07
Gm9768,-5.851975556,0.014725713
Gm9767,5.162554247,0.035045256
Cox7b,-10.18217146,0.034562841
Cybc1,-26.02267099,1.58E-07
Kcnf1,-5.868571154,0.026720476
AC166779.2,6.667183974,0.001510949
Gm5735,5.603555075,0.014979336
Golph3,-5.932477665,0.001015694
Gm20784,5.459201032,0.00825564
Hs6st1,-8.121679281,0.000458559
Gm10434,-35.11378544,1.89E-13
Gm21370,-6.536222364,0.00872463
Rpl7a-ps11,-22.20719046,1.47E-05
Gm43999,-5.793984974,0.034652097
Chmp1a,-4.901128839,0.039269482
Slc7a3,-9.254028993,0.012481497
Gm11514,-5.199638548,0.014752327
Card6,5.664070678,0.018959051
Gm36266,-8.12959417,0.000121762
Ppp1r9b,4.247275711,0.047622535
Cwc27,-5.903314822,0.029862628
Ubl4a,-11.4252458,0.005921491
Gm7281,-7.188160734,0.004504151
Hnrnpll,-6.822052797,0.001629029
Gm43329,-4.994220823,0.036979673
Lgr6,-7.231743567,0.001918793
Tmem108,6.138408767,0.004021651
Gabbr1,18.13152341,0.001015541
Asb11,-20.72819515,2.90E-05
Gm47439,-7.178442297,0.002410279
Gm15238,-22.67046353,3.92E-06
Rps12-ps22,-23.40783875,3.81E-08
Rps12-ps20,-24.38898228,5.43E-10
Arid4b,17.6114452,0.001506206
Gm26205,-5.78907319,0.022567082
Atp6v0c-ps2,5.418641867,0.015412125
Gm20644,-4.723874165,0.039324172
Smad1,-21.09612255,5.20E-05
Senp6,-5.099664779,0.022603156
Senp5,-4.978642362,0.026393144
Gm13669,-5.533077871,0.01334017
Gm9159,-8.44917793,0.04821328
Gm14857,-24.81190278,4.75E-11
Eml5,-6.115167043,0.032199007
Gm14108,4.531419545,0.014539369
Gm16072,3.801942446,0.029290204
Osmr,-28.36667079,6.81E-09
Gm42847,-7.102211022,0.001874674
Pja1,-23.36576106,1.23E-10
Pak1ip1,-6.786330194,0.003272295
Gm12251,5.455701735,0.017501177
Gm13120,-7.272073651,0.000552596
Gm13123,-5.542832512,0.007849343
Med28,6.724794355,0.00514842
Med21,5.554132622,0.015882706
Med23,-5.739425499,0.019446913
Gm6500,-23.22160818,2.51E-11
Gm48148,-5.999228377,0.007431061
Zrsr2,-23.44985345,3.40E-06
Gm5060,-25.43496427,3.43E-09
Ophn1,-10.10725479,0.008083661
Gm26415,-9.783468553,0.003526527
Gm8864,-11.37204674,0.000212001
Rpl13-ps1,-5.829399666,0.004181679
Rpl13-ps5,-10.19973973,0.002627658
Pkn3,5.01996686,0.017791935
Gm13408,-7.596106865,0.001605236
Spin4,-9.81243298,0.004576462
Xpo4,-5.587981836,0.023801158
Zfp389,-5.153249544,0.04524934
Galc,-4.494511615,0.039356742
Gm8575,5.416078559,0.034884095
Gm43031,-7.5098021,0.001843884
Gm4917,-25.41645144,4.85E-10
Usp10,-5.10920603,0.029648784
Usp16,25.31702719,2.74E-07
Sh3bgrl,-9.910870559,0.018698535
Gm5648,-24.18487527,3.97E-09
Fzd2,7.627315674,8.40E-05
Tnrc18,13.6046764,0.025517986
Grsf1,-5.959144577,0.02242536
Tacc3,-5.27172177,0.041569041
Pnpla2,-5.377760684,0.021525636
Gm8321,5.662783913,0.023801158
1700051K13Rik,-6.096784825,0.005443547
Mex3d,5.177464135,0.036468019
Tnfrsf4,-7.999938382,4.95E-06
Upp1,-6.353877433,0.007852243
Pprc1,39.06275332,5.55E-17
Gm11270,-5.291195329,0.018356442
Gm11271,-6.966759609,0.000337112
Mageb1,-24.43558233,2.53E-17
Zfp346,-8.185388281,0.002549217
Itga7,5.364493571,0.001435038
Gm15570,-5.750428363,0.019338022
Stk11,5.730965014,0.012236556
Smarcb1,4.296233375,0.038715729
Eif4ebp1,-4.832598298,0.02214714
Rptor,-5.99676327,0.012310255
Gm9598,5.149993556,0.010444484
Gm8648,-25.45647199,3.14E-07
Ubqln2,-25.58193898,1.58E-07
Gm43387,-7.560943073,0.000600301
Tbc1d14,7.210236507,0.006264581
Mrto4,-19.21627953,0.000380382
Aldoart2,-8.411347387,2.84E-05
Derl1,7.681249906,0.000152633
Gm371,-10.11358193,0.001259082
Asxl2,-5.634288234,0.023946223
Gm8399,5.097767402,0.00578334
Pam,-29.95488796,6.97E-10
Mnat1,-5.493324316,0.037658007
Gm9097,-9.126172801,0.034263865
Gm9095,-25.18196056,3.41E-08
Gm14296,-8.657526335,4.53E-05
Gm37033,-6.341808771,0.022266115
Ppp2r1a,5.259266115,0.018526057
Postn,-6.665169769,0.007468928
Gm12015,-8.494081785,5.59E-05
Gm23084,-5.011867024,0.004395489
Stt3b,-6.920894662,0.006891043
Sema4c,-5.767892441,0.032025232
Nup37,24.26914111,4.77E-08
Tomm7,-6.341261256,0.022615662
Gm43443,-8.467488478,0.00041487
Gm43441,-6.775204266,0.002810761
Grn,-23.48117422,3.40E-06
Sri,-7.936086175,5.14E-05
Piga,-21.08005309,5.01E-05
Pigk,5.273287374,0.042240439
Pigm,-5.609417179,0.034889054
Pign,5.730563606,0.038547695
Pxdc1,5.369590128,0.019499922
Gm14843,-24.24265928,9.29E-10
Mir3074-2,4.32195915,0.012949007
Zfp703,-9.244890858,9.73E-05
Dtymk,-8.116047344,0.000205586
Rnf111,5.340484775,0.01334017
Gm6345,-5.39676051,0.019599189
Gm7634,5.903600205,0.028328509
Ptma,-9.052367454,0.000149136
St3gal3,4.851566464,0.035708289
Gm44768,-7.536704437,0.008031304
Gm4017,-24.57710987,8.65E-07
Gm7823,-22.82118279,2.39E-08
Gm3774,-9.005942579,1.98E-05
Gm29490,4.916041455,0.044159896
Dusp27,8.177983602,1.40E-05
Gm25047,-7.879519248,0.000565945
Pip5k1a,-6.821321953,0.004576462
Nr2c2ap,32.8093877,6.67E-12
Gm14861,-23.91442,1.22E-09
Qdpr,-9.634983113,9.84E-07
Mdm4-ps,-24.39117354,1.38E-09
Wrnip1,-8.212862999,0.000257163
Cep295,-6.812023587,0.00451542
Scyl1,31.06374545,8.69E-11
Rlim,-23.20424981,5.74E-07
Gm47275,-25.07016976,4.87E-07
Rps4x-ps,-6.084401872,0.027720644
Urm1,-21.91913223,6.77E-06
Podxl,-5.699929626,0.034208322
Gm5479,-6.39298054,0.000312786
Gm7429,-9.848307568,0.042263136
Pole,5.41961269,0.010995089
Zfp830,-5.734870274,0.012976814
Hspa9,-5.620945154,0.002507355
Hspa8,-6.077829601,0.005235554
Gm7855,-25.65442342,8.69E-11
Gm7857,-21.946155,4.66E-08
Gm20770,-24.59711696,1.83E-08
Gm27942,5.954275189,0.004459166
Hacd2,-5.359739995,0.036468019
1810022K09Rik,-5.555786039,0.019459381
Gm12267,-5.453717601,0.02433994
Gstcd,6.237136937,0.000146237
Gm29228,5.594076811,0.018626785
Gm6285,-24.6775506,5.65E-09
Gm48800,-7.549740586,3.15E-05
Zfp704,6.198977708,0.015412125
AC152396.2,6.248650277,0.011328731
Lgmn,6.647586882,0.013205808
Lysmd3,5.881112198,0.004459166
Gm4883,7.472222295,0.005245981
Gm43266,-7.765727697,2.83E-05
Gm8587,-6.779874574,0.003634467
Gm48742,5.466442875,0.016010312
Mir1906-2,-7.115479954,0.030616521
Ercc2,-5.557181172,0.045355989
Ercc5,-6.738244213,0.013747289
Gm42965,-5.613464474,0.014529348
Gm6428,-7.295404147,0.001639141
Irak1,-9.144069323,0.000959351
Fggy,-4.952078232,0.045558049
Gm43910,-4.540519817,0.043161401
St7l,24.37153355,8.44E-07
Rpl23a-ps1,5.695921834,0.014725713
AC163620.1,-6.558112595,0.001109895
Eif2s3x,-7.88571202,0.030615189
Coa7,-5.826723468,0.030394945
Rap1a-ps2,-5.755900888,0.047422764
Gm49588,-5.722322585,0.014529348
Gm49586,-4.819533082,0.038434185
AC168977.2,-25.78293493,2.04E-07
Gm37090,-5.293541576,0.031748152
Gm37097,-5.879474469,0.001540158
Gm9727,6.086273653,0.004869483
Hid1,7.917106693,4.86E-05
Vamp5,-5.75774438,0.013674981
Vamp7,-18.98715453,0.000118774
Kcnd2,4.50605538,0.042985447
Katnb1,-6.099807579,0.043607873
Gm2736,-5.629503489,0.032997032
Gm9836,-6.12080434,0.023124786
Gm14807,-7.668124953,0.031748152
Ppib,4.908506873,0.046049884
Cnot6l,24.36287484,8.49E-07
Mrgbp,-5.050242014,0.018731062
Zfa-ps,6.332344983,0.011203368
Vcp-rs,-9.319520947,0.01026986
Pfkp,25.05870062,3.83E-07
Smc3,-22.08293556,1.69E-05
Kdm5c,-23.37577243,7.26E-07
Aldh6a1,-6.12942334,0.001856404
5430405H02Rik,4.645207529,0.044618225
Gm37415,-6.274393245,0.011328731
Akt1,33.38481597,2.34E-18
Kansl3,5.326617379,0.013349619
Gm10241,6.566068872,3.07E-05
Gm3448,4.551520461,0.021817046
Stxbp3,8.533357393,3.77E-05
Hist1h2ao,-7.223733429,0.001220535
Hist1h2af,-8.855004995,0.000140813
Gm28188,-6.199015412,0.012505279
Gm14115,4.394804025,0.019089147
C030015A19Rik,-6.284986866,0.001171805
Rab23,-6.44399611,0.012266985
Gm44117,-4.567035556,0.025648274
Tmem160,-5.399200681,0.047273672
Nop53,4.752606373,0.039770641
Sorbs1,-5.799356507,0.013190076
Izumo4,28.85787728,2.16E-09
Gm6092,-9.750907924,0.002164997
Dusp19,-6.309175047,0.00391567
Pdk3,-14.12912928,4.78E-07
Pdk4,-5.198215215,0.025397295
Sema7a,-4.883603425,0.021437309
Pcgf5,-23.58883207,2.96E-06
Gm16397,-8.93466725,0.039334335
Pgk1,-25.09786075,4.70E-11
Mars2,-5.264335946,0.04744307
Gm9333,5.936126334,0.016880436
Gm14878,-24.75963986,2.69E-11
Gm14870,-24.55677651,1.01E-08
Gm43288,-6.589447048,0.01224154
Gm14686,-7.75804708,0.016721661
Tbcd,-23.2978844,4.13E-06
Tspan9,-32.92600246,7.99E-12
Gm47240,-6.391650616,0.009496197
Csk,-5.064275361,0.025468341
Rps12-ps7,-22.66418922,4.62E-06
Xkrx,-28.92870026,8.26E-12
Gm5445,4.346213997,0.027309269
Gca,5.00161953,0.037371799
Gm44560,24.44897369,7.71E-07
Gm48909,-4.993128382,0.013433281
Ptges2,8.119139676,3.43E-06
Gm5696,-5.518562358,0.034272858
Txnip,-7.78399552,0.002192374
Gm14989,-10.32231455,0.041535035
Gm14984,-21.88331383,5.37E-08
Gm5970,5.085008472,0.029765446
Tsr2,-25.89153909,6.99E-10
Strn4,-5.434550029,0.029001456
Klf15,-5.706449744,0.021751051
Gm6563,-5.077234566,0.049474373
Prelid1,23.71996921,1.72E-07
Hat1,-5.667364243,0.01888833
Bphl,5.289957041,0.039356742
Rpl17-ps7,-6.471144758,0.015355735
Rpl17-ps8,-21.32229952,9.43E-13
Gm5046,-6.641253165,0.003158126
Gm9104,-9.622462632,6.83E-07
Gm8844,-11.29218468,0.000325325
Gm46231,-5.56857013,0.027766431
Gm45769,5.932668589,0.04431003
Mlip,24.94026994,4.41E-07
Hspa1b,5.128826017,0.030911864
Gm48878,-6.545581154,0.004913825
Srpk2,24.80311951,5.01E-07
Gm18609,5.639760467,0.019089147
Thbd,-5.128889495,0.019884815
Gm11282,-6.267695507,0.013349619
Gm12739,-5.3404018,0.037607218
Gm18198,6.025667765,0.019738173
Rpia,5.924582161,0.007112137
Slc25a53,-24.15039633,2.05E-08
Dnm1l,-22.78626394,2.11E-07
Atf1-ps,-5.902177417,0.04431003
Tmem33,-4.940369362,0.047165316
Arhgef18,-5.362306465,0.038282756
Pdzd11,-24.63133721,7.65E-19
Smpdl3a,6.511064178,0.000462274
Aqp1,-6.632578529,0.010110943
Gm6851,-6.847768515,0.015819377
Stard13,-5.075517846,0.022964744
Tceal9,-22.13560838,9.50E-10
Rps12,7.161505248,0.003305722
Rps17,4.629416728,0.022119278
Aff4,21.4063923,2.95E-05
Gm9078,-9.360803684,0.008612627
Gm8309,-5.960252474,0.005888892
Ints12,-5.984939505,0.024675189
Gm4849,-6.086281275,0.003603381
Brd2,9.373733679,5.06E-07
Maged1,-7.721699138,0.023551992
Maged2,-23.05672827,3.38E-10
Gm37086,-5.419812968,0.034011212
Gm46994,5.367025212,0.041721629
Gm44170,25.60649378,1.90E-07
Snrnp25,-5.597247348,0.049662877
Gm5710,-6.261253154,0.014539369
Map3k3,-5.076719253,0.034681158
Gm8661,-4.666814075,0.043343327
Apoo,-8.928571943,0.007768627
Sms,-23.25323539,4.35E-06
Ebag9,6.398001613,0.000384253
Mcm7,-33.57512405,3.38E-28
Gm6175,-9.527555987,0.013190076
Tubb4b-ps2,-9.067266375,0.000560778
Gm18827,-5.509532714,0.019334361
Arrdc1,-5.140744024,0.048543731
Ppm1g,-5.980898576,0.017408248
Ndufv3,-5.988359979,0.013302202
Kcnh7,-6.126916956,0.016629883
Gm47061,-6.472750109,0.013301547
1700008J07Rik,-7.321637409,0.003930258
Frat2,5.637728666,0.015908601
Gm21013,4.600520493,0.015936995
Lbhd1,-25.11268769,6.58E-10
Gm9252,4.578731286,0.034884095
Gm8129,-8.107855806,8.28E-06
Trim63,4.700740302,0.04257052
Gm26977,5.478781258,0.013281568
Rab3a,-4.78977109,0.033272555
Nae1,-5.516664295,0.038717796
Zfp768,-5.307231754,0.025201388
Gm37268,5.641110535,0.036363056
Gm15204,-20.92966092,1.42E-05
Gm1947,-21.63344433,2.40E-05
Gm20150,5.858567218,0.010515163
Arfgef1,5.982413394,0.014575436
Gm18042,-6.247197241,0.006264581
Gm21168,5.287030438,0.029535522
Tspan13,-10.07117587,8.65E-07
Gm29778,-6.009718251,0.00391567
Gm14925,-8.244449892,0.02242536
Gm16380,-4.230159709,0.039590782
Ero1l,-8.103405819,5.71E-05
Zfp597,-5.564993018,0.027408168
Cfl2,-6.612658588,0.008363074
Tcf25,-5.796085666,0.028192815
Sf3b5,4.160242402,0.029063574
Golim4,-20.42848341,1.43E-05
Supv3l1,-25.15831271,4.50E-07
Gm12118,-4.750899023,0.045407343
Rad9b,-4.772172401,0.008755601
Vsig2,23.11376298,3.43E-07
Gm14928,-23.88801675,4.42E-08
Agtrap,-5.547789449,0.018097238
Gm6218,-7.530845302,0.001171407
Gm6210,-4.69374885,0.035706163
Gm44431,-4.849181405,0.028239944
Agfg2,5.562838679,0.045355989
Gm5456,-7.247929204,0.003511193
Gm42913,5.611988563,0.0035108
Bicc1,-23.0861776,5.31E-06
Depp1,6.996848764,0.000153256
Mir680-2,-9.809941621,0.026781515
Snx20,5.741836841,0.011334135
Tstd3,5.930485268,0.008449617
Gm9939,4.709542341,0.003203768
Lrp10,5.428098577,0.04297839
Gm4995,-24.56145969,7.92E-10
Gm4991,-22.74375658,2.45E-08
Gm4993,-22.70447854,1.96E-09
Gm19571,-6.607394058,0.004669367
Gm11383,-5.560294532,0.013530639
Msn,-8.332109465,0.023801158
Larp1,-10.44102706,0.003203768
Tufm,6.481170822,0.012949007
Ifi208,-5.249750542,0.042599262
Mrrf,24.5219565,3.68E-09
Gm7222,-24.25302935,1.50E-10
Pfdn5,-26.02046052,1.58E-07
Rxrb,5.791684708,0.013925518
Gm5050,-6.142270517,0.03175109
Gm27733,-23.36517331,9.09E-08
Gm44325,-4.569757138,0.027720644
Gm8839,-10.63457576,0.000253952
Gm45758,-5.775808397,0.022590583
Gm45113,-5.171373817,0.019931257
E230001N04Rik,-6.968699819,0.001204527
Slc30a9,-6.760527506,0.003841404
Necap1,-7.800544415,2.65E-05
Gm4942,-6.978830353,0.014529348
Gm48153,-6.240789877,0.019581432
Acot6,-7.775195476,0.00053273
Acot2,-8.230869291,0.000126725
Tmem214,3.946970097,0.040941435
Gm4462,-4.269712744,0.039080441
Kcne1l,-20.76089631,5.00E-09
Gm43409,7.659635348,0.000285689
Tnks1bp1,5.460029219,0.019372386
Gm49194,-4.654621246,0.021065267
Gm8888,-5.859654683,0.014840002
Eif5al3-ps,4.650508436,0.008365772
Acp1,-5.378244305,0.013580425
Prkaca-ps1,-26.08988845,9.70E-08
Gm37783,-7.05492777,0.00396107
Car11,-4.786917356,0.02546144
Gm6751,-5.233433427,0.021720557
A030012G06Rik,8.048732896,3.43E-06
Gm9812,-8.088739001,0.00056688
Spsb2,-4.93252435,0.038317502
Smarcc1,-6.391710693,0.002420966
Arxes2,-22.31448429,2.43E-08
Gm5703,-5.502779018,0.030003108
Gm8858,-7.125552762,0.037413335
Gm8182,5.936617638,0.01472626
Gm25255,-6.700813781,0.000483587
Gm18970,-6.362464,0.008334564
Ankrd50,-6.353728245,0.010138189
Rab3il1,-5.580444731,0.029419868
G530011O06Rik,-21.87128443,9.23E-06
Gm25593,10.67927118,0.001210193
Gm17971,-6.319322684,0.012653189
Gm10226,5.775835784,0.026503198
Pigp,-4.752937151,0.042068384
Diaph1,4.669946532,0.013396207
Nupr1l,4.645433007,0.015924623
Gm43474,-6.059285828,0.001451429
