Gene,log2FoldChange,padj
Myadm,-5.387617268,0.042917205
Mllt6,-4.740981951,0.017447073
Rbmx2-ps,5.744515808,0.024888207
Gm10046,-5.736533459,0.007396151
Rtl8c,-8.630059192,8.74E-05
Gm8681,-3.993356096,0.035622407
Setd1b,24.1397937,8.47E-06
Gm38189,4.539369928,0.045429482
Gm42577,6.926015582,0.014346401
Gmnn,-7.69930996,4.26E-05
Apbb2,4.855306435,0.017555635
Ostc,7.114058717,0.002503095
Gm9002,-7.185121174,0.000587092
Lgals3,-5.144586994,0.030592162
Gm37545,-23.26552094,1.45E-05
Gm7181,-7.304794848,0.000507209
Vmn1r-ps84,7.170925647,0.009689171
Ttc33,-25.38412364,6.26E-07
Ube2d2a,4.719274003,0.014987564
Gm43311,6.936147411,0.000335444
Tfg,5.426964328,0.01721382
Dvl2,21.82761281,6.81E-05
Gm47124,6.160173222,0.016942845
Gm15692,-5.715673153,0.030640021
9530050K03Rik,8.140184626,0.001197326
4732496C06Rik,6.21121144,0.018326291
Gm6020,8.302439908,0.00021775
Ppp1r1a,-6.087574375,0.021225404
Gm47178,6.45830183,0.005420198
Mir7080,3.7673912,0.031832341
Mrap,6.571210677,0.006413278
Gm25321,-4.81682181,0.012123157
Lyz1,-4.922258798,0.033495671
Ctdnep1,22.53242398,3.54E-05
2810004N23Rik,20.17908644,0.000112575
Ap2s1,-5.408963775,0.035331006
Gm7466,-5.324119067,0.048292822
Gm37217,-6.91945771,0.012051456
Slc39a8,6.372169204,0.018073401
Bcam,5.916693939,0.032328705
Gm5374,-6.13624037,0.025684215
Ndel1,-24.75223432,4.97E-06
Sult1a1,-23.70802805,1.44E-06
Rnf7,4.783090184,0.028272425
Net1,-17.29518941,0.004418561
Gbp9,21.22488776,0.000119169
Gm28942,7.682708464,0.000302296
Myh10,-22.53085817,2.95E-05
Med11,5.494078488,0.016000286
Med16,-24.43160456,6.05E-06
Med19,-24.3312213,6.05E-06
Gm19391,-6.067541885,0.030377203
Dst,4.410013731,0.018407465
Dsp,-7.118387919,0.000527756
Oat,-6.344786408,0.026788657
Gm7514,-5.581856248,0.005035382
Gm7964,6.084480649,0.019293482
Mto1,23.92200469,9.32E-06
Rint1,4.72366339,0.045124102
Exoc5,-23.84113451,8.81E-06
Mir27b,-25.69099584,1.69E-06
5430416N02Rik,7.263354745,0.002986765
Raver1,7.485074865,0.001211483
Gm12092,-4.965361669,0.042624984
Cxcl9,22.06042217,5.38E-05
Nme2,-21.94574301,5.12E-05
Ext2,9.710959013,0.035331006
Gm12758,5.987022142,0.021906304
Gatm,-5.45579414,0.021226911
Mcc,-5.442681725,0.012291252
Gm5760,-7.870888696,0.015907852
Gm44247,-5.972938171,0.02270352
Disp1,6.584185172,0.010318132
Ubiad1,-6.928717612,0.017707498
Gm28651,6.05051189,0.029344533
Gm42549,-7.054779279,0.007825756
Kdm1b,5.797778291,0.031586792
Armc5,-6.127254699,0.000405404
Gm17590,7.225045653,0.002940569
Pmepa1,4.513247331,0.012416988
Gm18852,6.468265327,0.002542935
Slc35b1,5.846980234,0.012992265
Gm38671,5.748776253,0.00900136
Gm20691,-9.278360234,4.26E-05
Rcc1l,5.021954868,0.038229218
Phospho1,17.38603004,0.003810446
Pid1,-5.746625068,0.013553834
Gm3922,-5.123168567,0.035582505
Cand1,-6.313535359,0.011242438
Clptm1l,-4.175282904,0.045823228
Gm4895,6.403915665,0.012291252
Gm5213,-5.153559384,0.036405688
Trim8,6.18456641,0.01126994
Trim7,6.288144985,0.022684543
Tmem254b,5.300164952,0.038127607
AC102132.2,5.924113345,0.01428338
5031439G07Rik,-5.595219905,0.018542138
Rrn3,6.309943433,0.024713197
Ifi202b,6.473618796,0.003593957
Ndufb7,-6.215958592,0.008102469
Gm45454,6.307452029,0.019939159
Ldha,5.962119703,0.03663835
Gm5870,-6.648268122,0.004168364
Hpn,6.481984456,0.005844659
